Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.623971342821183,0.6388967330045161,0.6388967330045161,0.6743356183352935,0.05220293998718262
LGBMClassifier,0.8621357343402072,0.6268850706818693,0.6268850706818693,0.8382555163375361,0.5061943531036377
RandomForestClassifier,0.8599089940942977,0.6179058211641655,0.6179058211641655,0.834132482695763,3.4545772075653076
XGBClassifier,0.8604898828541001,0.610842681891137,0.6108426818911371,0.8321429119923749,2.271623134613037
DecisionTreeClassifier,0.7828444186271662,0.6051814582305984,0.6051814582305984,0.7852003040649373,0.22574996948242188
BaggingClassifier,0.8464517378255397,0.6034846755347393,0.6034846755347392,0.8218108344706812,1.1225776672363281
AdaBoostClassifier,0.861845289960306,0.6032522030553165,0.6032522030553166,0.8302319902428248,1.1406328678131104
ExtraTreesClassifier,0.849549811211153,0.6026100644318929,0.6026100644318929,0.8232438185924816,2.5537381172180176
ExtraTreeClassifier,0.782553974247265,0.593896062087258,0.5938960620872579,0.7826612037230457,0.055742740631103516
LabelSpreading,0.7885564914318908,0.5762269618440873,0.5762269618440873,0.7819757504442948,54.68644070625305
KNeighborsClassifier,0.8368670732887985,0.5755610571861267,0.5755610571861267,0.807125769857582,2.1642470359802246
LabelPropagation,0.7863297511859813,0.5751500940756393,0.5751500940756393,0.7804625353025103,39.11570429801941
PassiveAggressiveClassifier,0.7614483493077743,0.5573944826625026,0.5573944826625025,0.7622641841777739,0.06641745567321777
QuadraticDiscriminantAnalysis,0.8327040371768806,0.5461686067649492,0.5461686067649492,0.7932665063181441,0.0804295539855957
GaussianNB,0.8453867750992352,0.5337057052644361,0.5337057052644361,0.7912874590671553,0.07147908210754395
LogisticRegression,0.8452899603059347,0.5203128787930836,0.5203128787930836,0.783121962853932,0.0941925048828125
CalibratedClassifierCV,0.8451931455126344,0.5200083720939362,0.5200083720939362,0.7829061886491743,7.45661997795105
SVC,0.8453867750992352,0.5176539923362601,0.5176539923362601,0.7813939606281007,37.003501176834106
Perceptron,0.8047245619130603,0.5152114889637966,0.5152114889637966,0.7690137787636209,0.09449195861816406
DummyClassifier,0.739761835608481,0.5040019478333438,0.5040019478333438,0.7372459217109891,0.03348851203918457
LinearDiscriminantAnalysis,0.8419014425404202,0.5034814085813192,0.5034814085813192,0.7710521100194726,0.15157151222229004
LinearSVC,0.8411269241940168,0.5003045066991474,0.5003045066991474,0.7686424794307622,1.6634948253631592
CheckingClassifier,0.8410301094007164,0.5,0.5,0.7684085570429138,0.0459589958190918
RidgeClassifier,0.8410301094007164,0.5,0.5,0.7684085570429138,0.0628364086151123
RidgeClassifierCV,0.8410301094007164,0.5,0.5,0.7684085570429138,0.10108160972595215
SGDClassifier,0.8410301094007164,0.5,0.5,0.7684085570429138,0.14448022842407227
BernoulliNB,0.8410301094007164,0.5,0.5,0.7684085570429138,0.061428070068359375
